"AverageApproachShotDistance_RANKTHISWEEK_2014","AverageApproachShotDistance_RANKLASTWEEK_2014","AverageApproachShotDistance_PLAYERNAME_2014","AverageApproachShotDistance_ROUNDS_2014","AverageApproachShotDistance_AVG_2014","AverageApproachShotDistance_TOTALDISTOFAPPRSHOT_2014","AverageApproachShotDistance_TOTALHOLES_2014","stat_name","year"
1,1,"Dustin Johnson",58,158.8,4190899,733,"AverageApproachShotDistance",2014
2,2,"Charlie Beljan",76,159.6,6890109,1199,"AverageApproachShotDistance",2014
3,3,"Louis Oosthuizen",50,160.7,3101487,536,"AverageApproachShotDistance",2014
4,4,"Troy Merritt",62,161,5726105,988,"AverageApproachShotDistance",2014
5,5,"Patrick Reed",92,161.1,7689818,1326,"AverageApproachShotDistance",2014
6,6,"Brian Gay",81,161.4,6553207,1128,"AverageApproachShotDistance",2014
6,6,"David Toms",64,161.4,5641283,971,"AverageApproachShotDistance",2014
8,8,"Tim Clark",75,161.5,6484286,1115,"AverageApproachShotDistance",2014
8,8,"Andrew Loupe",65,161.5,5202540,895,"AverageApproachShotDistance",2014
10,10,"Troy Matteson",62,161.7,5111234,878,"AverageApproachShotDistance",2014
11,11,"Bo Van Pelt",83,161.9,6999402,1201,"AverageApproachShotDistance",2014
12,12,"Bud Cauley",56,162.1,4813778,825,"AverageApproachShotDistance",2014
12,12,"Tyrone Van Aswegen",79,162.1,6805077,1166,"AverageApproachShotDistance",2014
14,14,"Jeff Maggert",54,162.2,4595837,787,"AverageApproachShotDistance",2014
15,15,"Briny Baird",50,162.4,4735925,810,"AverageApproachShotDistance",2014
16,16,"Roberto Castro",76,162.5,6184207,1057,"AverageApproachShotDistance",2014
17,17,"Morgan Hoffmann",103,162.6,9434178,1612,"AverageApproachShotDistance",2014
18,18,"Brian Harman",111,162.9,10607489,1809,"AverageApproachShotDistance",2014
18,18,"Charles Howell III",106,162.9,9997791,1705,"AverageApproachShotDistance",2014
18,18,"Kevin Kisner",85,162.9,7337605,1251,"AverageApproachShotDistance",2014
18,18,"John Rollins",84,162.9,7041608,1201,"AverageApproachShotDistance",2014
22,22,"Tommy Gainey",73,163,6290274,1072,"AverageApproachShotDistance",2014
22,22,"Robert Streb",75,163,6730278,1147,"AverageApproachShotDistance",2014
22,22,"Bubba Watson",76,163,5892894,1004,"AverageApproachShotDistance",2014
25,25,"Retief Goosen",94,163.1,8210669,1398,"AverageApproachShotDistance",2014
25,25,"Bryce Molder",77,163.1,6734375,1147,"AverageApproachShotDistance",2014
27,27,"Stuart Appleby",92,163.3,8854692,1506,"AverageApproachShotDistance",2014
27,27,"Freddie Jacobson",91,163.3,8501146,1446,"AverageApproachShotDistance",2014
27,27,"Justin Leonard",75,163.3,6530925,1111,"AverageApproachShotDistance",2014
27,27,"Jamie Lovemark",64,163.3,4927425,838,"AverageApproachShotDistance",2014
27,27,"Wes Roach",67,163.3,5274773,897,"AverageApproachShotDistance",2014
32,32,"Chad Campbell",57,163.4,4842394,823,"AverageApproachShotDistance",2014
32,32,"JJ Henry",91,163.4,8221303,1398,"AverageApproachShotDistance",2014
34,34,"Woody Austin",63,163.5,6015812,1022,"AverageApproachShotDistance",2014
34,34,"Brian Davis",93,163.5,8572296,1456,"AverageApproachShotDistance",2014
36,36,"Ryo Ishikawa",75,163.6,6529603,1109,"AverageApproachShotDistance",2014
36,36,"Scott Langley",95,163.6,8326289,1414,"AverageApproachShotDistance",2014
36,36,"Jim Renner",61,163.6,5470129,929,"AverageApproachShotDistance",2014
39,39,"Jason Day",54,163.7,3470407,589,"AverageApproachShotDistance",2014
39,39,"Justin Hicks",103,163.7,9528917,1617,"AverageApproachShotDistance",2014
41,41,"Brice Garnett",92,163.8,8218379,1394,"AverageApproachShotDistance",2014
41,41,"Jim Herman",62,163.8,5054909,857,"AverageApproachShotDistance",2014
41,41,"Michael Thompson",74,163.8,6334689,1074,"AverageApproachShotDistance",2014
41,41,"Boo Weekley",73,163.8,5916040,1003,"AverageApproachShotDistance",2014
45,45,"Greg Chalmers",85,163.9,7717489,1308,"AverageApproachShotDistance",2014
45,45,"Richard Lee",80,163.9,6395137,1084,"AverageApproachShotDistance",2014
45,45,"Sean OHair",77,163.9,7075148,1199,"AverageApproachShotDistance",2014
48,48,"Heath Slocum",71,164,6571736,1113,"AverageApproachShotDistance",2014
48,48,"Brendon Todd",108,164,9630964,1631,"AverageApproachShotDistance",2014
48,48,"Tim Wilkinson",86,164,7527367,1275,"AverageApproachShotDistance",2014
51,51,"Jonas Blixt",64,164.1,4544169,769,"AverageApproachShotDistance",2014
51,51,"Billy Hurley III",86,164.1,7628854,1291,"AverageApproachShotDistance",2014
51,51,"Bronson La Cassie",51,164.1,3810554,645,"AverageApproachShotDistance",2014
51,51,"Rory Sabbatini",82,164.1,6875598,1164,"AverageApproachShotDistance",2014
55,55,"Martin Flores",85,164.2,7175414,1214,"AverageApproachShotDistance",2014
56,56,"Luke Guthrie",85,164.3,8021693,1356,"AverageApproachShotDistance",2014
56,56,"David Hearn",97,164.3,8719408,1474,"AverageApproachShotDistance",2014
56,56,"Charley Hoffman",93,164.3,8032914,1358,"AverageApproachShotDistance",2014
56,56,"Russell Knox",92,164.3,8811106,1490,"AverageApproachShotDistance",2014
56,56,"David Lingmerth",80,164.3,7097570,1200,"AverageApproachShotDistance",2014
61,61,"Stewart Cink",91,164.4,7613216,1286,"AverageApproachShotDistance",2014
61,61,"Geoff Ogilvy",84,164.4,7724668,1305,"AverageApproachShotDistance",2014
61,61,"Ted Potter Jr",68,164.4,6357676,1074,"AverageApproachShotDistance",2014
64,64,"Josh Teater",90,164.5,7946071,1342,"AverageApproachShotDistance",2014
64,64,"Camilo Villegas",95,164.5,8910254,1505,"AverageApproachShotDistance",2014
66,66,"Graeme McDowell",66,164.6,4877517,823,"AverageApproachShotDistance",2014
66,66,"Pat Perez",84,164.6,7984002,1347,"AverageApproachShotDistance",2014
66,66,"Scott Stallings",77,164.6,6690259,1129,"AverageApproachShotDistance",2014
69,69,"Chad Collins",78,164.7,6470259,1091,"AverageApproachShotDistance",2014
69,69,"Lucas Glover",68,164.7,4998251,843,"AverageApproachShotDistance",2014
69,69,"Matt Kuchar",91,164.7,8081121,1363,"AverageApproachShotDistance",2014
72,72,"Brad Fritsch",50,164.8,4140511,698,"AverageApproachShotDistance",2014
72,72,"Davis Love III",74,164.8,6679616,1126,"AverageApproachShotDistance",2014
74,74,"Trevor Immelman",84,164.9,7137326,1202,"AverageApproachShotDistance",2014
74,74,"Jerry Kelly",80,164.9,6998907,1179,"AverageApproachShotDistance",2014
74,74,"Kevin Tway",64,164.9,4993085,841,"AverageApproachShotDistance",2014
77,77,"Jason Bohn",81,165,7741531,1303,"AverageApproachShotDistance",2014
77,77,"Kevin Chappell",100,165,9241366,1556,"AverageApproachShotDistance",2014
77,77,"Chris Kirk",105,165,9159191,1542,"AverageApproachShotDistance",2014
77,77,"Carl Pettersson",91,165,9017555,1518,"AverageApproachShotDistance",2014
77,77,"Vijay Singh",83,165,8083766,1361,"AverageApproachShotDistance",2014
77,77,"Hudson Swafford",75,165,6140656,1034,"AverageApproachShotDistance",2014
77,77,"Nick Watney",80,165,5946615,1001,"AverageApproachShotDistance",2014
84,84,"KJ Choi",80,165.1,7134345,1200,"AverageApproachShotDistance",2014
84,84,"Russell Henley",92,165.1,7947283,1337,"AverageApproachShotDistance",2014
84,84,"DA Points",75,165.1,5848247,984,"AverageApproachShotDistance",2014
87,87,"Spencer Levin",59,165.3,5338470,897,"AverageApproachShotDistance",2014
87,87,"Ben Martin",80,165.3,6700128,1126,"AverageApproachShotDistance",2014
89,89,"Ben Curtis",77,165.4,6849487,1150,"AverageApproachShotDistance",2014
89,89,"Jason Dufner",57,165.4,4465814,750,"AverageApproachShotDistance",2014
91,91,"Derek Ernst",80,165.5,6725495,1129,"AverageApproachShotDistance",2014
91,91,"James Hahn",82,165.5,7779372,1306,"AverageApproachShotDistance",2014
91,91,"JB Holmes",86,165.5,8223421,1380,"AverageApproachShotDistance",2014
91,91,"Brooks Koepka",56,165.5,4487132,753,"AverageApproachShotDistance",2014
91,91,"Brendan Steele",89,165.5,7470647,1254,"AverageApproachShotDistance",2014
91,91,"Mark Wilson",69,165.5,6083374,1021,"AverageApproachShotDistance",2014
97,97,"Jonathan Byrd",76,165.7,6919972,1160,"AverageApproachShotDistance",2014
97,97,"Andres Romero",81,165.7,7687088,1289,"AverageApproachShotDistance",2014
97,97,"Jordan Spieth",102,165.7,8439796,1415,"AverageApproachShotDistance",2014
97,97,"Charlie Wi",72,165.7,6954322,1166,"AverageApproachShotDistance",2014
101,101,"Ben Crane",81,165.8,8358066,1400,"AverageApproachShotDistance",2014
101,101,"Jeff Overton",80,165.8,7047840,1181,"AverageApproachShotDistance",2014
101,101,"Shawn Stefani",60,165.8,6081266,1019,"AverageApproachShotDistance",2014
104,104,"Ken Duke",80,165.9,7081351,1186,"AverageApproachShotDistance",2014
105,105,"Brandt Snedeker",89,166,7033310,1177,"AverageApproachShotDistance",2014
105,105,"Andrew Svoboda",77,166,7071230,1183,"AverageApproachShotDistance",2014
107,107,"Scott Brown",100,166.1,8902204,1489,"AverageApproachShotDistance",2014
108,108,"Hunter Mahan",88,166.3,7694029,1285,"AverageApproachShotDistance",2014
108,108,"Kevin Streelman",79,166.3,6411559,1071,"AverageApproachShotDistance",2014
108,108,"Johnson Wagner",69,166.3,6184637,1033,"AverageApproachShotDistance",2014
111,111,"Kyle Stanley",87,166.4,7752504,1294,"AverageApproachShotDistance",2014
111,111,"Nicholas Thompson",85,166.4,7516672,1255,"AverageApproachShotDistance",2014
111,111,"Mike Weir",69,166.4,5680253,948,"AverageApproachShotDistance",2014
114,114,"Paul Casey",56,166.5,4710862,786,"AverageApproachShotDistance",2014
114,114,"Chesson Hadley",84,166.5,7632100,1273,"AverageApproachShotDistance",2014
114,114,"Martin Laird",66,166.5,5890879,983,"AverageApproachShotDistance",2014
114,114,"Jhonattan Vegas",77,166.5,6874199,1147,"AverageApproachShotDistance",2014
118,118,"YE Yang",79,166.6,6543921,1091,"AverageApproachShotDistance",2014
119,119,"Steven Bowditch",93,166.7,8361095,1393,"AverageApproachShotDistance",2014
119,119,"Bill Haas",107,166.7,8834038,1472,"AverageApproachShotDistance",2014
119,119,"Billy Horschel",92,166.7,7376132,1229,"AverageApproachShotDistance",2014
119,119,"Zach Johnson",97,166.7,8964076,1494,"AverageApproachShotDistance",2014
119,119,"Will Ma Kenzie",82,166.7,7868055,1311,"AverageApproachShotDistance",2014
124,124,"Ricky Barnes",92,166.8,8395485,1398,"AverageApproachShotDistance",2014
124,124,"Jim Furyk",84,166.8,7123022,1186,"AverageApproachShotDistance",2014
124,124,"Seung Yul Noh",92,166.8,8063353,1343,"AverageApproachShotDistance",2014
124,124,"John Peterson",62,166.8,5915851,985,"AverageApproachShotDistance",2014
128,128,"DH Lee",54,166.9,4835474,805,"AverageApproachShotDistance",2014
128,128,"Webb Simpson",87,166.9,7932186,1320,"AverageApproachShotDistance",2014
130,130,"Brian Stuard",91,167,7990577,1329,"AverageApproachShotDistance",2014
131,131,"Robert Allenby",83,167.1,7571390,1259,"AverageApproachShotDistance",2014
131,131,"Sangmoon Bae",76,167.1,6986030,1161,"AverageApproachShotDistance",2014
131,131,"James Driscoll",71,167.1,6263765,1041,"AverageApproachShotDistance",2014
131,131,"John Merrick",87,167.1,7765869,1291,"AverageApproachShotDistance",2014
131,131,"Phil Mickelson",71,167.1,5335387,887,"AverageApproachShotDistance",2014
131,131,"Ian Poulter",57,167.1,4386375,729,"AverageApproachShotDistance",2014
131,131,"Kevin Stadler",90,167.1,7000736,1164,"AverageApproachShotDistance",2014
138,138,"Jason Kokrak",65,167.2,6574099,1092,"AverageApproachShotDistance",2014
139,139,"John Senden",99,167.4,8750188,1452,"AverageApproachShotDistance",2014
140,140,"William McGirt",96,167.5,9064288,1503,"AverageApproachShotDistance",2014
141,141,"Matt Every",85,167.6,7018741,1163,"AverageApproachShotDistance",2014
142,142,"Aaron Baddeley",74,167.7,6376772,1056,"AverageApproachShotDistance",2014
142,142,"Erik Compton",88,167.7,8111650,1344,"AverageApproachShotDistance",2014
142,142,"Harris English",95,167.7,7994782,1324,"AverageApproachShotDistance",2014
145,145,"Ryan Palmer",85,167.8,7217533,1195,"AverageApproachShotDistance",2014
145,145,"Cameron Tringale",111,167.8,10599025,1755,"AverageApproachShotDistance",2014
147,147,"Brendon de Jonge",109,167.9,9937569,1644,"AverageApproachShotDistance",2014
148,148,"Angel Cabrera",69,168,6581779,1088,"AverageApproachShotDistance",2014
149,149,"Luke Donald",57,168.1,4751734,785,"AverageApproachShotDistance",2014
149,149,"Robert Garrigus",80,168.1,7902999,1306,"AverageApproachShotDistance",2014
151,151,"Gonzalo Fdez Castano",83,168.2,7435385,1228,"AverageApproachShotDistance",2014
151,151,"Danny Lee",84,168.2,7470057,1234,"AverageApproachShotDistance",2014
153,153,"Keegan Bradley",89,168.3,7251949,1197,"AverageApproachShotDistance",2014
153,153,"Marc Leishman",81,168.3,7476627,1234,"AverageApproachShotDistance",2014
155,155,"Graham DeLaet",80,168.4,6952820,1147,"AverageApproachShotDistance",2014
155,155,"Matt Jones",83,168.4,6517335,1075,"AverageApproachShotDistance",2014
155,155,"Will Wilcox",51,168.4,4346698,717,"AverageApproachShotDistance",2014
158,158,"Chris Stroud",88,168.6,7824057,1289,"AverageApproachShotDistance",2014
159,159,"John Huh",87,168.7,7621130,1255,"AverageApproachShotDistance",2014
160,160,"George McNeill",79,168.8,7602837,1251,"AverageApproachShotDistance",2014
160,160,"Jimmy Walker",98,168.8,7931962,1305,"AverageApproachShotDistance",2014
162,162,"Ernie Els",85,168.9,6853996,1127,"AverageApproachShotDistance",2014
163,163,"Charl Schwartzel",64,169.1,5885813,967,"AverageApproachShotDistance",2014
164,164,"Rickie Fowler",91,169.2,6767712,1111,"AverageApproachShotDistance",2014
164,164,"Ryan Moore",86,169.2,6779255,1113,"AverageApproachShotDistance",2014
166,166,"Hideki Matsuyama",82,169.3,6980550,1145,"AverageApproachShotDistance",2014
167,167,"Justin Rose",70,169.4,5684534,932,"AverageApproachShotDistance",2014
167,167,"Adam Scott",68,169.4,6121248,1004,"AverageApproachShotDistance",2014
169,169,"Sergio Garcia",61,169.9,4385937,717,"AverageApproachShotDistance",2014
170,170,"Daniel Summerhays",98,170.2,9648488,1575,"AverageApproachShotDistance",2014
171,171,"Rory McIlroy",66,170.6,5256421,856,"AverageApproachShotDistance",2014
172,172,"Martin Kaymer",65,170.8,5276311,858,"AverageApproachShotDistance",2014
173,173,"Kevin Na",94,170.9,8608102,1399,"AverageApproachShotDistance",2014
173,173,"Gary Woodland",93,170.9,8040377,1307,"AverageApproachShotDistance",2014
175,175,"Michael Putnam",106,171,10021253,1628,"AverageApproachShotDistance",2014
176,176,"Lee Westwood",57,172,4762733,769,"AverageApproachShotDistance",2014
177,177,"Henrik Stenson",56,174.8,4272848,679,"AverageApproachShotDistance",2014
