"OnePuttPercentage_RANKTHISWEEK_2016","OnePuttPercentage_RANKLASTWEEK_2016","OnePuttPercentage_PLAYERNAME_2016","OnePuttPercentage_ROUNDS_2016","OnePuttPercentage_Pct_2016","OnePuttPercentage_OF1PUTTS_2016","OnePuttPercentage_OFHOLES_2016","stat_name","year"
1,1,"Brian Gay",22,48.74,193,396,"OnePuttPercentage",2016
2,2,"Steve Stricker",25,46.44,209,450,"OnePuttPercentage",2016
3,3,"Aaron Baddeley",51,45.75,420,918,"OnePuttPercentage",2016
4,4,"Jordan Spieth",34,45.37,245,540,"OnePuttPercentage",2016
5,6,"Phil Mickelson",37,44.93,275,612,"OnePuttPercentage",2016
6,7,"Brendon Todd",43,44.32,343,774,"OnePuttPercentage",2016
7,8,"Jamie Donaldson",28,44,198,450,"OnePuttPercentage",2016
8,9,"Jonas Blixt",46,43.96,364,828,"OnePuttPercentage",2016
9,5,"Brian Stuard",24,43.75,189,432,"OnePuttPercentage",2016
9,22,"Tim Wilkinson",40,43.75,315,720,"OnePuttPercentage",2016
11,10,"Carl Pettersson",31,43.55,243,558,"OnePuttPercentage",2016
12,11,"Anirban Lahiri",44,43.36,320,738,"OnePuttPercentage",2016
13,12,"Jason Day",36,43.3,226,522,"OnePuttPercentage",2016
14,14,"Freddie Jacobson",54,43.21,420,972,"OnePuttPercentage",2016
15,16,"Steve Wheatcroft",53,43.08,411,954,"OnePuttPercentage",2016
16,17,"JB Holmes",39,43.06,279,648,"OnePuttPercentage",2016
17,18,"Ben Crane",48,42.94,371,864,"OnePuttPercentage",2016
18,13,"Stuart Appleby",39,42.74,300,702,"OnePuttPercentage",2016
19,19,"Derek Fathauer",58,42.62,445,1044,"OnePuttPercentage",2016
20,27,"Daniel Summerhays",55,42.42,420,990,"OnePuttPercentage",2016
21,31,"Andrew Loupe",50,42.33,381,900,"OnePuttPercentage",2016
22,23,"Justin Leonard",28,42.26,213,504,"OnePuttPercentage",2016
23,21,"Peter Malnati",53,42.24,403,954,"OnePuttPercentage",2016
24,24,"Hiroshi Iwata",51,42.16,387,918,"OnePuttPercentage",2016
25,29,"Brian Harman",60,42.13,455,1080,"OnePuttPercentage",2016
26,25,"Brandt Snedeker",47,42.12,326,774,"OnePuttPercentage",2016
27,35,"George McNeill",33,42.09,250,594,"OnePuttPercentage",2016
28,20,"Michael Kim",62,42.03,469,1116,"OnePuttPercentage",2016
29,32,"Sean OHair",45,41.98,340,810,"OnePuttPercentage",2016
30,30,"Jon Curran",55,41.92,415,990,"OnePuttPercentage",2016
31,33,"Ricky Barnes",57,41.72,428,1026,"OnePuttPercentage",2016
32,34,"Marc Leishman",41,41.67,285,684,"OnePuttPercentage",2016
33,26,"Will Wilcox",47,41.61,352,846,"OnePuttPercentage",2016
34,28,"Cameron Smith",45,41.6,337,810,"OnePuttPercentage",2016
35,35,"Luke Guthrie",31,41.58,232,558,"OnePuttPercentage",2016
36,37,"Jimmy Walker",43,41.53,299,720,"OnePuttPercentage",2016
37,15,"Byeong Hun An",23,41.52,142,342,"OnePuttPercentage",2016
38,38,"Troy Merritt",41,41.46,306,738,"OnePuttPercentage",2016
39,50,"Danny Lee",53,41.44,373,900,"OnePuttPercentage",2016
39,41,"Bryce Molder",50,41.44,373,900,"OnePuttPercentage",2016
41,43,"Dustin Johnson",37,41.32,238,576,"OnePuttPercentage",2016
42,42,"Zac Blair",56,41.27,416,1008,"OnePuttPercentage",2016
42,47,"Ryan Moore",40,41.27,260,630,"OnePuttPercentage",2016
44,38,"Morgan Hoffmann",43,41.21,319,774,"OnePuttPercentage",2016
45,60,"Patton Kizzire",57,41.19,393,954,"OnePuttPercentage",2016
46,45,"Chez Reavie",56,41.17,415,1008,"OnePuttPercentage",2016
47,81,"Retief Goosen",37,41.14,274,666,"OnePuttPercentage",2016
47,47,"Hideki Matsuyama",40,41.14,274,666,"OnePuttPercentage",2016
49,60,"Tom Hoge",47,41.13,348,846,"OnePuttPercentage",2016
50,58,"Vaughn Taylor",30,41.11,222,540,"OnePuttPercentage",2016
51,45,"Hunter Mahan",43,41.09,318,774,"OnePuttPercentage",2016
52,47,"Dicky Pride",33,41.08,244,594,"OnePuttPercentage",2016
53,40,"Colt Knost",56,41.07,414,1008,"OnePuttPercentage",2016
54,78,"Ernie Els",34,41.01,251,612,"OnePuttPercentage",2016
55,53,"Billy Hurley III",22,40.91,162,396,"OnePuttPercentage",2016
56,52,"Alex Cejka",47,40.9,346,846,"OnePuttPercentage",2016
57,55,"DJ Trahan",23,40.82,169,414,"OnePuttPercentage",2016
58,54,"Si Woo Kim",63,40.74,462,1134,"OnePuttPercentage",2016
58,44,"Jamie Lovemark",57,40.74,418,1026,"OnePuttPercentage",2016
58,59,"Seung Yul Noh",54,40.74,396,972,"OnePuttPercentage",2016
61,65,"Cameron Tringale",47,40.66,344,846,"OnePuttPercentage",2016
62,55,"Sung Kang",51,40.63,373,918,"OnePuttPercentage",2016
63,51,"Adam Scott",39,40.59,263,648,"OnePuttPercentage",2016
64,64,"Webb Simpson",34,40.52,248,612,"OnePuttPercentage",2016
65,66,"Rory Sabbatini",40,40.42,291,720,"OnePuttPercentage",2016
66,67,"Andres Romero",22,40.4,160,396,"OnePuttPercentage",2016
67,75,"Martin Laird",46,40.34,334,828,"OnePuttPercentage",2016
68,69,"Jerry Kelly",44,40.28,319,792,"OnePuttPercentage",2016
69,73,"Erik Compton",45,40.25,326,810,"OnePuttPercentage",2016
69,55,"Adam Hadwin",53,40.25,384,954,"OnePuttPercentage",2016
71,70,"Charley Hoffman",49,40.22,333,828,"OnePuttPercentage",2016
71,74,"Camilo Villegas",50,40.22,362,900,"OnePuttPercentage",2016
73,79,"Vijay Singh",42,40.21,304,756,"OnePuttPercentage",2016
74,68,"Mark Hubbard",73,40.18,528,1314,"OnePuttPercentage",2016
75,62,"Nick Taylor",57,40.16,412,1026,"OnePuttPercentage",2016
76,76,"KJ Choi",47,40.07,339,846,"OnePuttPercentage",2016
77,86,"Rickie Fowler",42,40.03,281,702,"OnePuttPercentage",2016
78,101,"Tony Finau",49,40.02,353,882,"OnePuttPercentage",2016
79,71,"Jason Gore",51,39.98,367,918,"OnePuttPercentage",2016
79,85,"Kevin Kisner",49,39.98,331,828,"OnePuttPercentage",2016
79,79,"Luke List",51,39.98,367,918,"OnePuttPercentage",2016
82,63,"Angel Cabrera",42,39.81,301,756,"OnePuttPercentage",2016
82,82,"Matt Kuchar",46,39.81,301,756,"OnePuttPercentage",2016
82,90,"William McGirt",54,39.81,387,972,"OnePuttPercentage",2016
82,104,"Rory McIlroy",37,39.81,215,540,"OnePuttPercentage",2016
86,83,"Kevin Na",52,39.8,351,882,"OnePuttPercentage",2016
87,98,"Jason Bohn",37,39.79,265,666,"OnePuttPercentage",2016
88,71,"Jeff Overton",51,39.76,365,918,"OnePuttPercentage",2016
89,84,"Chad Collins",45,39.75,322,810,"OnePuttPercentage",2016
90,89,"Scott Brown",59,39.74,422,1062,"OnePuttPercentage",2016
91,86,"Branden Grace",31,39.68,200,504,"OnePuttPercentage",2016
92,119,"DH Lee",35,39.52,249,630,"OnePuttPercentage",2016
93,91,"Chris Kirk",51,39.49,327,828,"OnePuttPercentage",2016
93,91,"Ryan Palmer",46,39.49,327,828,"OnePuttPercentage",2016
95,121,"Kevin Chappell",49,39.46,348,882,"OnePuttPercentage",2016
96,93,"Harris English",51,39.43,362,918,"OnePuttPercentage",2016
97,94,"Andrew Landry",24,39.35,170,432,"OnePuttPercentage",2016
97,97,"Francesco Molinari",36,39.35,255,648,"OnePuttPercentage",2016
97,129,"John Senden",48,39.35,340,864,"OnePuttPercentage",2016
100,88,"Charles Howell III",63,39.33,446,1134,"OnePuttPercentage",2016
101,95,"Abraham Ancer",26,39.32,184,468,"OnePuttPercentage",2016
101,95,"Charl Schwartzel",29,39.32,184,468,"OnePuttPercentage",2016
103,111,"Steven Bowditch",40,39.31,283,720,"OnePuttPercentage",2016
104,115,"Scott Stallings",46,39.25,325,828,"OnePuttPercentage",2016
105,76,"Rob Oppenheim",37,39.19,261,666,"OnePuttPercentage",2016
106,110,"Harold Varner III",58,39.18,409,1044,"OnePuttPercentage",2016
107,134,"Scott Langley",41,39.16,289,738,"OnePuttPercentage",2016
108,99,"Russell Henley",42,39.15,296,756,"OnePuttPercentage",2016
109,102,"Miguel Angel Carballo",24,39.12,169,432,"OnePuttPercentage",2016
110,104,"Hudson Swafford",52,39.1,366,936,"OnePuttPercentage",2016
111,106,"Brooks Koepka",39,39.05,239,612,"OnePuttPercentage",2016
112,107,"Padraig Harrington",38,39.04,267,684,"OnePuttPercentage",2016
112,107,"Zach Johnson",42,39.04,267,684,"OnePuttPercentage",2016
114,109,"Billy Horschel",45,39.02,295,756,"OnePuttPercentage",2016
115,111,"Jason Dufner",53,38.89,350,900,"OnePuttPercentage",2016
115,111,"Graeme McDowell",33,38.89,210,540,"OnePuttPercentage",2016
115,111,"Pat Perez",28,38.89,196,504,"OnePuttPercentage",2016
115,132,"Ian Poulter",37,38.89,259,666,"OnePuttPercentage",2016
115,138,"Patrick Reed",53,38.89,343,882,"OnePuttPercentage",2016
115,118,"David Toms",38,38.89,266,684,"OnePuttPercentage",2016
121,126,"Tyrone Van Aswegen",67,38.81,468,1206,"OnePuttPercentage",2016
122,117,"Sam Saunders",40,38.75,279,720,"OnePuttPercentage",2016
123,120,"John Huh",51,38.67,355,918,"OnePuttPercentage",2016
124,121,"Lucas Lee",22,38.64,153,396,"OnePuttPercentage",2016
125,124,"Matt Jones",45,38.62,292,756,"OnePuttPercentage",2016
126,145,"Martin Piller",37,38.59,257,666,"OnePuttPercentage",2016
127,125,"Smylie Kaufman",57,38.58,375,972,"OnePuttPercentage",2016
128,129,"Brice Garnett",29,38.51,201,522,"OnePuttPercentage",2016
129,102,"Chris Stroud",52,38.46,360,936,"OnePuttPercentage",2016
130,135,"Fabian Gomez",49,38.41,318,828,"OnePuttPercentage",2016
130,115,"Michael Thompson",46,38.41,318,828,"OnePuttPercentage",2016
132,131,"Wes Roach",33,38.38,228,594,"OnePuttPercentage",2016
133,127,"DA Points",32,38.37,221,576,"OnePuttPercentage",2016
134,127,"Spencer Levin",62,38.35,428,1116,"OnePuttPercentage",2016
135,99,"Carlos Ortiz",47,38.3,324,846,"OnePuttPercentage",2016
136,144,"Ben Martin",48,38.19,330,864,"OnePuttPercentage",2016
137,143,"David Hearn",55,38.18,378,990,"OnePuttPercentage",2016
138,146,"David Lingmerth",54,38.13,350,918,"OnePuttPercentage",2016
139,141,"Justin Rose",35,38.02,219,576,"OnePuttPercentage",2016
140,138,"Luke Donald",49,37.98,335,882,"OnePuttPercentage",2016
141,140,"Bronson Burgoon",53,37.95,362,954,"OnePuttPercentage",2016
142,142,"Kyle Stanley",57,37.82,388,1026,"OnePuttPercentage",2016
143,157,"Derek Ernst",36,37.81,245,648,"OnePuttPercentage",2016
144,155,"Andres Gonzales",46,37.8,313,828,"OnePuttPercentage",2016
145,151,"Kyle Reifers",63,37.74,428,1134,"OnePuttPercentage",2016
145,161,"Boo Weekley",53,37.74,360,954,"OnePuttPercentage",2016
147,156,"Chesson Hadley",51,37.69,346,918,"OnePuttPercentage",2016
148,133,"Paul Casey",39,37.65,244,648,"OnePuttPercentage",2016
149,146,"Shane Bertsch",30,37.59,203,540,"OnePuttPercentage",2016
150,163,"Geoff Ogilvy",37,37.54,250,666,"OnePuttPercentage",2016
151,152,"Tyler Aldridge",53,37.53,358,954,"OnePuttPercentage",2016
152,165,"Blayne Barber",44,37.5,297,792,"OnePuttPercentage",2016
152,148,"Darron Stiles",28,37.5,189,504,"OnePuttPercentage",2016
152,148,"Dawie van der Walt",48,37.5,324,864,"OnePuttPercentage",2016
155,170,"James Hahn",45,37.41,303,810,"OnePuttPercentage",2016
155,135,"Henrik Stenson",30,37.41,202,540,"OnePuttPercentage",2016
157,153,"Ken Duke",26,37.39,175,468,"OnePuttPercentage",2016
158,153,"Whee Kim",54,37.35,363,972,"OnePuttPercentage",2016
159,148,"Justin Thomas",53,37.33,336,900,"OnePuttPercentage",2016
160,160,"Daniel Berger",52,37.3,329,882,"OnePuttPercentage",2016
161,137,"Emiliano Grillo",47,37.25,295,792,"OnePuttPercentage",2016
162,168,"Ollie Schniederjans",23,37.2,154,414,"OnePuttPercentage",2016
163,158,"Chad Campbell",54,37.14,361,972,"OnePuttPercentage",2016
164,176,"Bill Haas",42,37.13,254,684,"OnePuttPercentage",2016
165,166,"Kevin Streelman",46,37.08,307,828,"OnePuttPercentage",2016
166,159,"Jim Herman",55,37.07,367,990,"OnePuttPercentage",2016
167,163,"Matt Every",34,36.93,226,612,"OnePuttPercentage",2016
168,173,"Lucas Glover",53,36.9,352,954,"OnePuttPercentage",2016
168,182,"Mark Wilson",42,36.9,279,756,"OnePuttPercentage",2016
170,188,"Roberto Castro",55,36.87,365,990,"OnePuttPercentage",2016
171,162,"Davis Love III",40,36.81,265,720,"OnePuttPercentage",2016
171,173,"Brendan Steele",48,36.81,318,864,"OnePuttPercentage",2016
173,168,"Scott Piercy",45,36.77,278,756,"OnePuttPercentage",2016
174,186,"Henrik Norlander",41,36.72,271,738,"OnePuttPercentage",2016
175,172,"Russell Knox",48,36.67,297,810,"OnePuttPercentage",2016
176,173,"Andy Sullivan",25,36.62,145,396,"OnePuttPercentage",2016
176,184,"Jhonattan Vegas",49,36.62,323,882,"OnePuttPercentage",2016
178,167,"Jason Kokrak",52,36.54,342,936,"OnePuttPercentage",2016
179,171,"Kelly Kraft",35,36.51,230,630,"OnePuttPercentage",2016
180,178,"Johnson Wagner",44,36.49,289,792,"OnePuttPercentage",2016
181,189,"Shane Lowry",35,36.46,210,576,"OnePuttPercentage",2016
182,180,"Will Ma Kenzie",54,36.42,354,972,"OnePuttPercentage",2016
183,177,"Steve Marino",40,36.39,262,720,"OnePuttPercentage",2016
184,183,"Graham DeLaet",50,36.33,327,900,"OnePuttPercentage",2016
185,179,"Brett Stegmaier",57,36.26,372,1026,"OnePuttPercentage",2016
186,193,"Patrick Rodgers",49,36.17,319,882,"OnePuttPercentage",2016
186,181,"Gary Woodland",45,36.17,293,810,"OnePuttPercentage",2016
188,185,"Matthew Fitzpatrick",23,36.11,130,360,"OnePuttPercentage",2016
189,192,"Robert Streb",51,36,311,864,"OnePuttPercentage",2016
190,194,"Brendon de Jonge",55,35.96,356,990,"OnePuttPercentage",2016
190,187,"Rhein Gibson",36,35.96,233,648,"OnePuttPercentage",2016
192,191,"Bubba Watson",30,35.8,174,486,"OnePuttPercentage",2016
193,190,"Justin Hicks",26,35.68,167,468,"OnePuttPercentage",2016
193,196,"Shawn Stefani",45,35.68,289,810,"OnePuttPercentage",2016
195,195,"Charlie Beljan",26,35.47,166,468,"OnePuttPercentage",2016
196,197,"Louis Oosthuizen",25,35.19,114,324,"OnePuttPercentage",2016
197,199,"Robert Allenby",35,35.08,221,630,"OnePuttPercentage",2016
198,198,"Sergio Garcia",28,34.89,157,450,"OnePuttPercentage",2016
199,200,"Scott Pinckney",53,34.8,332,954,"OnePuttPercentage",2016
200,207,"Robert Garrigus",34,33.99,208,612,"OnePuttPercentage",2016
201,202,"Stewart Cink",45,33.95,275,810,"OnePuttPercentage",2016
202,201,"Greg Owen",56,33.93,342,1008,"OnePuttPercentage",2016
203,203,"Bernd Wiesberger",23,33.89,122,360,"OnePuttPercentage",2016
204,204,"Cameron Percy",22,33.84,134,396,"OnePuttPercentage",2016
205,206,"Thomas Aiken",42,33.73,255,756,"OnePuttPercentage",2016
206,205,"Keegan Bradley",40,33.61,242,720,"OnePuttPercentage",2016
207,208,"JJ Henry",44,32.7,259,792,"OnePuttPercentage",2016
