"Approach_RANKTHISWEEK_2006","Approach_RANKLASTWEEK_2006","Approach_PLAYERNAME_2006","Approach_ROUNDS_2006","Approach_AVGRTP_2006","stat_name","year"
1,1,"Adam Scott",70,-0.321,"Approach",2006
2,2,"Jim Furyk",89,-0.272,"Approach",2006
3,3,"Tiger Woods",55,-0.25,"Approach",2006
4,4,"Phil Mickelson",74,-0.244,"Approach",2006
5,5,"Omar Uresti",61,-0.231,"Approach",2006
6,6,"John Senden",96,-0.229,"Approach",2006
7,7,"Paul Goydos",72,-0.222,"Approach",2006
8,8,"Greg Owen",79,-0.216,"Approach",2006
9,9,"Padraig Harrington",54,-0.213,"Approach",2006
10,10,"Joe Ogilvie",95,-0.207,"Approach",2006
11,11,"Rory Sabbatini",84,-0.205,"Approach",2006
12,12,"Ben Curtis",86,-0.203,"Approach",2006
13,13,"Ryuji Imada",105,-0.202,"Approach",2006
14,14,"Brett Quigley",109,-0.201,"Approach",2006
14,14,"Bubba Watson",83,-0.201,"Approach",2006
16,16,"Steve Stricker",64,-0.199,"Approach",2006
17,17,"Ernie Els",69,-0.196,"Approach",2006
18,18,"Richard Johnson",94,-0.193,"Approach",2006
19,19,"Shane Bertsch",104,-0.19,"Approach",2006
20,20,"Paul Azinger",87,-0.187,"Approach",2006
21,21,"Pat Perez",50,-0.186,"Approach",2006
22,22,"Ian Poulter",53,-0.184,"Approach",2006
23,23,"Fred Couples",52,-0.181,"Approach",2006
24,24,"Daniel Chopra",110,-0.18,"Approach",2006
25,25,"Briny Baird",81,-0.176,"Approach",2006
26,26,"Chris Riley",86,-0.175,"Approach",2006
27,27,"Stephen Leaney",84,-0.173,"Approach",2006
27,27,"Frank Lickliter II",99,-0.173,"Approach",2006
29,29,"Alex Cejka",93,-0.172,"Approach",2006
30,30,"Jerry Kelly",100,-0.17,"Approach",2006
31,31,"Will Ma Kenzie",91,-0.169,"Approach",2006
32,32,"Thomas Levet",53,-0.167,"Approach",2006
33,33,"Rich Beem",85,-0.165,"Approach",2006
34,34,"Brian Gay",107,-0.164,"Approach",2006
34,34,"Freddie Jacobson",56,-0.164,"Approach",2006
36,36,"Robert Gamez",94,-0.162,"Approach",2006
37,37,"Trevor Immelman",86,-0.161,"Approach",2006
38,38,"Lee Janzen",79,-0.16,"Approach",2006
39,39,"Tim Clark",80,-0.157,"Approach",2006
39,39,"Steve Elkington",52,-0.157,"Approach",2006
39,39,"Todd Fischer",101,-0.157,"Approach",2006
42,42,"Zach Johnson",98,-0.156,"Approach",2006
43,43,"Jeff Overton",95,-0.154,"Approach",2006
44,44,"Davis Love III",85,-0.153,"Approach",2006
45,45,"Troy Matteson",101,-0.152,"Approach",2006
45,45,"Mike Weir",88,-0.152,"Approach",2006
47,47,"Skip Kendall",72,-0.151,"Approach",2006
47,47,"Arron Oberholser",82,-0.151,"Approach",2006
49,49,"Eric Axley",91,-0.149,"Approach",2006
50,50,"Stewart Cink",93,-0.148,"Approach",2006
51,51,"John Cook",67,-0.147,"Approach",2006
51,51,"Jeff Sluman",101,-0.147,"Approach",2006
51,51,"Jerry Smith",94,-0.147,"Approach",2006
54,54,"Jonathan Byrd",66,-0.146,"Approach",2006
54,54,"Corey Pavin",74,-0.146,"Approach",2006
54,54,"Kirk Triplett",58,-0.146,"Approach",2006
54,54,"Scott Verplank",88,-0.146,"Approach",2006
58,58,"Danny Ellis",68,-0.145,"Approach",2006
59,59,"Stephen Ames",63,-0.144,"Approach",2006
60,60,"KJ Choi",93,-0.143,"Approach",2006
61,61,"Woody Austin",107,-0.142,"Approach",2006
62,62,"Charley Hoffman",100,-0.141,"Approach",2006
63,63,"Shigeki Maruyama",94,-0.14,"Approach",2006
64,64,"Robert Allenby",79,-0.136,"Approach",2006
64,64,"Larry Mize",53,-0.136,"Approach",2006
66,66,"Luke Donald",66,-0.135,"Approach",2006
67,67,"Bo Van Pelt",102,-0.134,"Approach",2006
68,68,"Lucas Glover",105,-0.133,"Approach",2006
68,68,"Shaun Micheel",96,-0.133,"Approach",2006
68,68,"Ryan Moore",68,-0.133,"Approach",2006
68,68,"Vance Veazey",59,-0.133,"Approach",2006
72,72,"Bernhard Langer",77,-0.132,"Approach",2006
72,72,"David Toms",76,-0.132,"Approach",2006
74,74,"Justin Leonard",83,-0.131,"Approach",2006
75,75,"Bill Haas",99,-0.13,"Approach",2006
76,76,"Michael Connell",51,-0.129,"Approach",2006
76,76,"David McKenzie",82,-0.129,"Approach",2006
78,78,"David Branshaw",98,-0.126,"Approach",2006
78,78,"Daisuke Maruyama",83,-0.126,"Approach",2006
78,78,"Vaughn Taylor",88,-0.126,"Approach",2006
81,81,"Brian Davis",92,-0.125,"Approach",2006
82,82,"Camilo Villegas",95,-0.124,"Approach",2006
83,83,"Tom Pernice Jr",108,-0.122,"Approach",2006
84,84,"Harrison Frazar",95,-0.121,"Approach",2006
84,84,"Fred Funk",106,-0.121,"Approach",2006
86,86,"Chris DiMarco",83,-0.119,"Approach",2006
87,87,"Sergio Garcia",59,-0.118,"Approach",2006
87,87,"Greg Kraft",79,-0.118,"Approach",2006
87,87,"Steve Lowery",99,-0.118,"Approach",2006
87,87,"Kevin Sutherland",100,-0.118,"Approach",2006
91,91,"Jimmy Walker",60,-0.117,"Approach",2006
92,92,"DA Points",82,-0.116,"Approach",2006
93,93,"Bart Bryant",87,-0.115,"Approach",2006
94,94,"Vijay Singh",103,-0.114,"Approach",2006
94,94,"Bob Tway",81,-0.114,"Approach",2006
96,96,"Mark Brooks",90,-0.113,"Approach",2006
97,97,"Tommy Armour III",65,-0.112,"Approach",2006
97,97,"JP Hayes",55,-0.112,"Approach",2006
99,99,"Olin Browne",108,-0.111,"Approach",2006
100,100,"Billy Andrade",78,-0.109,"Approach",2006
100,100,"Jason Bohn",104,-0.109,"Approach",2006
100,100,"Nathan Green",108,-0.109,"Approach",2006
103,103,"Tjaart van der Walt",60,-0.108,"Approach",2006
104,104,"John Huston",74,-0.107,"Approach",2006
105,105,"Brent Geiberger",99,-0.106,"Approach",2006
105,105,"Rod Pampling",89,-0.106,"Approach",2006
107,107,"Jason Gore",86,-0.105,"Approach",2006
107,107,"Duffy Waldorf",96,-0.105,"Approach",2006
109,109,"Len Mattiace",59,-0.104,"Approach",2006
110,110,"Chris Smith",67,-0.103,"Approach",2006
111,111,"Chris Couch",75,-0.1,"Approach",2006
111,111,"JJ Henry",96,-0.1,"Approach",2006
111,111,"Roger Tambellini",64,-0.1,"Approach",2006
114,114,"Bob Estes",85,-0.098,"Approach",2006
114,114,"Jonathan Kaye",95,-0.098,"Approach",2006
116,116,"Retief Goosen",68,-0.097,"Approach",2006
116,116,"Mathias Gronberg",92,-0.097,"Approach",2006
116,116,"Charles Howell III",96,-0.097,"Approach",2006
119,119,"Ben Crane",85,-0.096,"Approach",2006
119,119,"Ryan Hietala",61,-0.096,"Approach",2006
119,119,"Brett Wetterich",82,-0.096,"Approach",2006
122,122,"Kris Cox",83,-0.095,"Approach",2006
122,122,"Nick Watney",97,-0.095,"Approach",2006
124,124,"Steve Jones",83,-0.093,"Approach",2006
125,125,"David Howell",52,-0.092,"Approach",2006
126,126,"Michael Allen",84,-0.091,"Approach",2006
127,127,"Robert Damron",91,-0.09,"Approach",2006
127,127,"JB Holmes",81,-0.09,"Approach",2006
127,127,"Justin Rose",98,-0.09,"Approach",2006
130,130,"Doug Barron",74,-0.089,"Approach",2006
130,130,"John Rollins",93,-0.089,"Approach",2006
132,132,"Brandt Jobe",91,-0.088,"Approach",2006
133,133,"Kent Jones",103,-0.087,"Approach",2006
133,133,"DJ Trahan",92,-0.087,"Approach",2006
135,135,"Craig Barlow",77,-0.086,"Approach",2006
135,135,"Chad Campbell",91,-0.086,"Approach",2006
135,135,"Jeff Gove",91,-0.086,"Approach",2006
138,138,"Mark Wilson",79,-0.084,"Approach",2006
139,139,"Marco Dawson",87,-0.083,"Approach",2006
139,139,"John Engler Jr",69,-0.083,"Approach",2006
141,141,"Joe Durant",101,-0.082,"Approach",2006
141,141,"Scott Gutschewski",53,-0.082,"Approach",2006
143,143,"James Driscoll",80,-0.081,"Approach",2006
144,144,"Joey Sindelar",90,-0.079,"Approach",2006
145,145,"Geoff Ogilvy",76,-0.078,"Approach",2006
145,145,"Dean Wilson",115,-0.078,"Approach",2006
147,147,"Stuart Appleby",83,-0.075,"Approach",2006
147,147,"Bob May",65,-0.075,"Approach",2006
147,147,"Ron Whittaker",81,-0.075,"Approach",2006
150,150,"Hunter Mahan",98,-0.074,"Approach",2006
151,151,"Jeff Brehaut",100,-0.072,"Approach",2006
151,151,"Kenny Perry",73,-0.072,"Approach",2006
153,153,"Brian Bateman",69,-0.068,"Approach",2006
154,154,"Mathew Goggin",72,-0.067,"Approach",2006
155,155,"Brad Faxon",78,-0.065,"Approach",2006
155,155,"Jeff Maggert",81,-0.065,"Approach",2006
157,157,"Wes Short Jr",96,-0.061,"Approach",2006
158,158,"Aaron Baddeley",78,-0.055,"Approach",2006
158,158,"Ryan Palmer",101,-0.055,"Approach",2006
160,160,"Robert Garrigus",85,-0.053,"Approach",2006
160,160,"Tim Herron",82,-0.053,"Approach",2006
162,162,"Jesper Parnevik",84,-0.051,"Approach",2006
163,163,"Jason Schultz",77,-0.047,"Approach",2006
164,164,"Ian Leggatt",80,-0.045,"Approach",2006
164,164,"Billy Mayfair",94,-0.045,"Approach",2006
166,166,"Mark Calcavecchia",94,-0.042,"Approach",2006
166,166,"Mark OMeara",52,-0.042,"Approach",2006
166,166,"Tag Ridings",103,-0.042,"Approach",2006
166,166,"Charles Warren",93,-0.042,"Approach",2006
170,170,"Henrik Bjornstad",97,-0.04,"Approach",2006
170,170,"Greg Chalmers",71,-0.04,"Approach",2006
172,172,"Jose Maria Olazabal",62,-0.037,"Approach",2006
172,172,"Tim Petrovic",95,-0.037,"Approach",2006
174,174,"Carl Pettersson",95,-0.034,"Approach",2006
175,175,"Heath Slocum",96,-0.033,"Approach",2006
176,176,"Steve Flesch",119,-0.031,"Approach",2006
176,176,"Matt Hansen",68,-0.031,"Approach",2006
176,176,"Ted Purdy",103,-0.031,"Approach",2006
179,179,"Nicholas Thompson",96,-0.029,"Approach",2006
180,180,"Paul Stankowski",70,-0.027,"Approach",2006
181,181,"Mike Sposa",68,-0.021,"Approach",2006
182,182,"JL Lewis",57,-0.019,"Approach",2006
182,182,"Patrick Sheehan",104,-0.019,"Approach",2006
184,184,"Todd Hamilton",72,-0.018,"Approach",2006
185,185,"Bubba Dickerson",98,-0.015,"Approach",2006
186,186,"Jon Mills",68,-0.012,"Approach",2006
187,187,"David Duval",71,-0.007,"Approach",2006
188,188,"Peter Lonard",77,-0.005,"Approach",2006
189,189,"Arjun Atwal",97,-0.004,"Approach",2006
190,190,"Dudley Hart",83,0.006,"Approach",2006
191,191,"John Daly",51,0.009,"Approach",2006
192,192,"Carlos Franco",86,0.011,"Approach",2006
193,193,"Tom Lehman",70,0.022,"Approach",2006
194,194,"Alex Aragon",63,0.058,"Approach",2006
195,195,"Sean OHair",100,0.07,"Approach",2006
196,196,"Hidemichi Tanaka",74,0.106,"Approach",2006
